__label__芸能 , かつて ピンク ・ レディー を 結成 し て い た の は ミー と ケイ で ある 
__label__芸能 , 中谷 美紀 演じる 女性 刑事 ・ 柴田 純 を 主人公 と する 1999 年 に TBS で 放映 さ れ た TV ドラマ は ？ ( 4 文字 ) ケイゾク 
__label__芸能 , アメリカ ・ NBC の TV ドラマ 殺人 鬼 サイラー 田村 英里子 が 出演 超 能力 者 たち の 戦い 『 ロズウェル 星 の 恋人 たち 』 『 HEROES 』 『 LOST 』 『 トゥルー・コーリング 』 
__label__芸能 , テレビ朝日 の バラエティ 番組 『 銭形 金太郎 』 は お 金持ち の 素人 を 紹介 する 番組 で ある 
__label__芸能 , ベトナム 戦争 を 描い た 映画 『 プラトーン 』 の 監督 は オリバー ・ ストーン です が 『 地獄 の 黙示録 』 の 監督 は フランシス ・ F ・ ○○○○？○ を 答え なさい コッポラ 
__label__芸能 , 黒木 瞳 と 深田 恭子 が 親子 を 演じ た 2000 年 の ドラマ です イマジン 
__label__芸能 , 俳優 ・ 神田 正輝 の 母 に当たる 松竹 歌劇 団 出身 の 女優 あさひ てるこ 
__label__芸能 , 今井 美樹 の 『 PRIDE 』 は 格闘技 イベント 「 PRIDE 」 で 出場 選手 の 入場 曲 として 使わ れ た こと が ある 
__label__芸能 , ロックバンド 「 GLAY 」 の ボーカル は TERU です が ベース は ○○○○？○ を 答え なさい JIRO 
__label__芸能 , 北野 武 が 主演 し た 2004 年 公開 の 映画 です 血 と 骨 
__label__芸能 , 次 の お笑い 芸人 を 所属 し て いる ユニット ごと に グループ 分け し なさい ハイヒール オセロ 松嶋 尚美 モモコ リンゴ 
__label__芸能 , 次 の うち 、 1980 年代 に 日本 で 公開 さ れ た 映画 を 全て 選び なさい 『 羊 たち の 沈黙 』 『 E . T .』 『 ラストエンペラー 』 
__label__芸能 , 2005 年 の ORANGE RANGE の ヒット 曲 は 『 お願い ！○○○○○○』？ セニョリータ 
__label__芸能 , スピッツ と スキマスイッチ に 共通 する シングル 曲 の タイトル は ？ スカーレット 
__label__芸能 , 次 の 文字 列 を 順に 選ん で 吉本興業 の タレント として 活躍 し 現在 は 画家 として 活躍 し て いる 人物 の 名前 に し なさい ジ ミー 西 大 
__label__芸能 , 1983 年 に 死去 し た 、 アメリカ の 音楽 グループ ・ カーペンターズ の 女性 ボーカリスト は ○ ○ ○ ・カーペンター ？ ( 3 文字 ) カレン 
__label__芸能 , 長瀬 智也 主演 の TV ドラマ 『 タイガー & ドラゴン 』 は 主人公 が 落語 家 を 目指す 話 で ある 
__label__芸能 , 音楽 グループ 「 ORANGE RANGE 」 の メンバー は 全員 、 沖縄 県 出身 で ある 
__label__芸能 , ヒット 曲 『 Give me a Shake 』 『 Ride on time 』 で 知ら れる 1995 年 に デビュー し た 沖縄 出身 の 女性 音楽 ユニット は ？ MAX 
__label__芸能 , B ' z の デビュー 曲 の タイトル は 『 だから その 手 を つない で 』 で ある 
__label__芸能 , 音楽 グループ 「 ピチカート・ファイヴ 」 の デビュー 曲 は 『 グレース ・ ケリー ・ コンプレックス 』 で ある 
__label__芸能 , メル・ギブソン 主演 の 映画 『 ブレイブハート 』 は スコットランド 独立 の 英雄 を 描い た 作品 で ある 
__label__芸能 , 1997 年 に リリース さ れ た PUFFY の ヒット 曲 は 『 渚 にまつわる ○○○○○』？○ を 答え なさい エトセトラ 
__label__芸能 , 謎 の 物体 モノ リス が 登場 する スタンリー・キューブリック 監督 による 、 1968 年 公開 の SF 映画 は ？ 『 2001 年 銀河 の 旅 』 『 2001 年 地中海 クルーズ の 旅 』 『 2001 年 宇宙 の 旅 』 『 2001 年 自分 探し の 旅 』 
__label__芸能 , イライジャ・ウッド 主演 の 映画 『 ロード・オブ・ザ・リング 』 で フロド は アルウェン と 結婚 する 
__label__芸能 , NHK の 『 できる か な 』 に 登場 し た ゴン 太く ん が かぶっ て いる 帽子 は 麦藁 帽子 で ある 
__label__芸能 , 2009 年 8 月 をもって 活動 を 停止 し た 、 『 ガッツ だ ぜ !!』 など の ヒット 曲 で 知ら れる バンド は ？ ウルフルズ 
__label__芸能 , 1992 年 に リリース さ れ た Mr . Children の ファースト シングル は 『 君 が い た ○ 』 ？ ○ の 漢字 を ひ ら が なで 答え なさい なつ 
__label__芸能 , 『 世界 の 中心 で 、 愛 を さけぶ 』 の 映画 の 主題歌 に なっ た 、 平井 堅 の ヒット 曲 は 『 ○ を とじ て 』 ？ ○ の 漢字 を ひ ら が なで 答え なさい ひとみ 
__label__芸能 , トム ・ ハンクス が 主演 し た 2000 年 公開 の 映画 です グリーン マイル 
__label__芸能 , 1996 年 に アメリカ の 女性 歌手 マライア ・ キャリー の 日本 初 公演 が 開催 さ れ た の は 日本武道館 で ある 
__label__芸能 , 大橋 卓弥 が ボーカル を 務める 音楽 ユニット は スキマスイッチ で ある 
__label__芸能 , 次 の うち 、 堤 真一 が 出演 し た 映画 を 全て 選び なさい 『 それでも ボク は やっ て ない 』 『 孤高 の メス 』 『 博士 の 愛し た 数式 』 
__label__芸能 , 草津 に 自ら の 絵画 作品 を 展示 し た 美術館 を 開い て いる タレント は 片岡 ○○○？○ の 名前 を ひ ら が なで 答え なさい つる たろ う 
__label__芸能 , 芸能 プロダクション 「 渡辺 プロ 」 の 創業 者 は 渡辺 ○ ？ ○ の 名前 を ひ ら が なで 答え なさい しん 
__label__芸能 , 2012 年 11 月 に 、 元 AKB 48 の 高城 亜樹 と 仲川 遙香 が 移籍 し た アイドル ユニット は インドネシア の JKT 48 で ある 
__label__芸能 , お笑い コンビ で 板倉 俊之 、 堤下 敦 と いえ ば インパルス です が 鈴木 拓 、 塚地 武 雅 と いえ ば ○ ○○○○○○○？○ を 答え なさい ドランクドラゴン 
__label__芸能 , 『 池 中 玄 太 80 キロ 』 シリーズ や 『 ち ゅらさん 』 シリーズ に 出演 し て い た 、 俳優 の 故 ・ 金子 信雄 の 妻 だっ た 女優 は 誰 ？ 丹 阿弥 谷津 子 
__label__芸能 , 1995 年 に 42 歳 の 若 さ で 亡くなっ た 『 つぐない 』 など の ヒット 曲 が ある 台湾 の 歌手 は テレサ・ ○ ○ ？ ○ を 答え なさい テン 
__label__芸能 , 童謡 『 かわいい かくれんぼ 』 で 黄色い あん よ が 見え て いる の は ○○○？○ を 答え なさい ひよこ 
__label__芸能 , メル・ギブソン 監督 による キリスト を 主人公 と し た 映画 パッション 
__label__芸能 , 「 CHAGE and ASKA 」 の CHAGE は 学生 の 頃 、 坊主 に し た とき に 「 ハゲ 」 と 呼ば れ た こと に ちなん で 名づけ られ た 
__label__芸能 , 2012 年 に 公開 さ れ た 、 北野 武 監督 の バイオレンス 映画 『 アウトレイジ 』 の 続編 は 『 アウトレイジ ○ ○ ○ ○ 』 ？ ( 4 文字 ) ビヨンド 
__label__芸能 , 第 二 次 世界 大戦 を 舞台 に し た アメリカ の TV ドラマ です コンバット 
__label__芸能 , 1992 年 に TV ドラマ 『 愛 という 名 の もと に 』 の 主題歌 に も 採用 さ れ た 浜田 省吾 の ヒット 曲 は ？ 悲しみ は 雪 の よう に 
__label__芸能 , 劇場 オーナー の 娘 ボリー と 主人公 ボビー と の 恋愛 を 描い た 日本 で も 人気 の ミュージカル は 『 ○○○○○○○○○ ・ ユー 』 ？ クレイジー・フォー 
__label__芸能 , E テレ の TV 番組 『 おかあさんといっしょ 』 の 歌 の お 兄さん と お 姉さん は 毎年 新しい 人 に 交替 し て いる 
__label__芸能 , 1969 年 に 『 白い 色 は 恋人 の 色 』 を ヒット さ せ た ハワイ 出身 の フォーク デュオ の 名前 は ベッツィ & クリス で ある 
__label__芸能 , 『 ドナウ の さ ざなみ 』 で 有名 な ルーマニア の 作曲 家 は ？ イワノビッチ 
__label__芸能 , 刑事 ドラマ 『 大 都会 』 の 主題歌 は クリスタル キング の 『 大 都会 』 だっ た 
__label__芸能 , 1978 年 公開 の SF 映画 『 スター・ウォーズ 』 は アカデミー 作品 賞 を 受賞 し て いる 
__label__芸能 , 1982 年 に 大 ヒット し た 嶋 大輔 の 曲 の タイトル は 『 男 の ○○』？○ の 漢字 を ひ ら が なで 答え なさい くん しょ う 
__label__芸能 , お笑い 芸人 の 志村 けん は ザ・ドリフターズ に 途中 から 新 メンバー として 加わっ た 
__label__芸能 , 美 嘉 の ケータイ 小説 を 原作 と する 2007 年 に 新垣 結衣 が 主演 し た 恋愛 映画 は 『 ○ 空 』 ？ ○ の 漢字 を ひ ら が なで 答え なさい こい 
__label__芸能 , 1919 年 に 創刊 さ れ た 日本 最古 の 映画 雑誌 は 「 ○ ○ ○ 旬報 」 ？ ○ を 答え なさい キネマ 
__label__芸能 , 2011 年 に 公開 さ れ た 実写 映画 『 パラダイス ・ キス 』 で 主人公 ・ 早坂 紫 を 演じ た 女優 は 北川 景子 で ある 
__label__芸能 , 懐かし の アイドルグループ・キャンディーズ の シングル 曲 で オリコン チャート 1 位 を 獲得 し た 曲 は ひとつ も ない 
__label__芸能 , アメリカ の 人気 TV ドラマ 『 アリー my ラブ 』 の 主演 は キャリスタ・ ○○○○○○○？○ を 答え なさい フロック ハート 
__label__芸能 , エリア・カザン 監督 による 映画 『 エデン の 東 』 の 主人公 は 旧約 聖書 の アダム と イブ で ある 
__label__芸能 , 『 ここ に しか 咲か ない 花 』 を 2005 年 に ヒット さ せ た の は コブ クロ で ある 
__label__芸能 , TV 番組 『 アイ・アイゲーム 』 で 司会 の 山城 新伍 が 伏せ字 を 表す の に 用い た 表現 は ○○○○○○？○ を 答え なさい チョメチョメ 
__label__芸能 , 毎日放送 の 番組 『 テレビ の つ ぼ 』 の 司会 を 担当 し て い まし た ぜんじ ろう 
__label__芸能 , 『 ここ に しか 咲か ない 花 』 を 2005 年 に ヒット さ せ た の は SMAP で ある 
__label__芸能 , 歌舞伎 の 舞台 に ある 萌黄 ・ 柿 ・ 黒 の 3 色 の 引き 幕 の こと を 「 鯨幕 」 という 
__label__芸能 , アカデミー 賞 で 授与 さ れる オスカー 像 は 100 % の 純金 で でき て いる 
__label__芸能 , 次 の 文字 列 を 組み合わせ て かつて アイドル グループ 「 CoCo 」 の メンバー だっ た 女性 の 名前 に し なさい 瀬能 羽田 三浦 あずさ 理恵子 恵理香 
__label__芸能 , 1983 年 公開 の 角川 映画 『 時 を かける 少女 』 で 主人公 の 少女 は 自分 の 意志 で 自由 に タイムス リップ でき た 
__label__芸能 , 2006 年 放映 の TV ドラマ 『 マイ ☆ ボス マイ ☆ ヒーロー 』 で 、 主人公 の 父親 を 演じ た の は 岩城 滉一 で ある 
__label__芸能 , 2011 年度 の アカデミー 賞 で 作品 賞 を 受賞 し まし た アーティスト 
__label__芸能 , TV 番組 『 さんま の まんま 』 など の 司会 で おなじみ の 本名 を 杉本 高文 という お笑い 芸人 は ○ ○ ○ さんま ？ ( 3 文字 ) 明石家 
__label__芸能 , 歌手 ・ 布袋 寅泰 の 妻 で ある タレント は 今井 美樹 で ある 
__label__芸能 , 速水 も こ みち が ロボット を 演じ た 2008 年 放映 の TV ドラマ は 『 絶対 彼女 』 で ある 
__label__芸能 , 2000 年 に 公開 さ れ た ナイト・シャマラン 監督 、 ブルース ・ ウィリス 主演 による サスペンス 映画 は ？ アンブレイカブル 
__label__芸能 , 次 の 映画 を 、 ジャンル ごと に グループ 分け し なさい ホラー 映画 ポリス アクション オー メン エクソシスト ブリット 
__label__芸能 , スペイン の 宮殿 の 名前 が つい た ギター の 名曲 は 『 ○○○○○○ の 思い出 』 ？ アルハンブラ 
__label__芸能 , 演劇 用語 で 、 略し て 「 ブカン 」 と 呼ば れる 仕事 の こと です 舞台 監督 
__label__芸能 , [ 動画 問 ] この 地区 に 本社 を 置く テレビ局 は どれ ？ （ 観覧 車 ） フジテレビ MX テレビ ニッポン 放送 日本テレビ 
__label__芸能 , タレント ・ 勝俣 州 和 が かつて 所属 し て い た アイドル グループ は 忍者 で ある 
__label__芸能 , スティーブン ・ スピルバーグ が 製作 総 指揮 を 務め た 、 1987 年 公開 の SF 映画 は 『 ニューヨーク ○○○○○○○』？ 東 8 番 街 の 奇跡 
__label__芸能 , 「 エヴァンゲリオン 芸人 」 として おなじみ の 「 桜 稲垣 早希 」 は 綾 波 レイ を 真似 する ネタ で ブレイク し た 
__label__芸能 , 次 の うち 、 1982 年 の ヒット 曲 『 エボニー・アンド・アイボリー 』 を デュエット し た 歌手 を 全て 選び なさい スティービー・ワンダー ポール ・ マッカートニー フィル ・ コリンズ 
__label__芸能 , 吉本興業 の お笑い 子 オン 日 麒麟 の 田村 裕 による 自叙伝 は 『 ホームレス ○○○』？○ の 漢字 を ひ ら が なで 答え なさい ち ゅうがくせい 
__label__芸能 , 2013 年 に 放送 さ れる NHK 大河ドラマ で その 生涯 が 描か れ ます 新島 八重 
__label__芸能 , 次 の 人物 を 、 2012 年 の 『 24 時間 テレビ 』 チャリティー マラソン で 走っ た 順 に 選び なさい 佐々木 健介 佐々木 健之 介 佐々木 誠之 介 北斗 昌 
__label__芸能 , マイケル ・ J ・ フォックス が 主演 し た アメリカ の TV ドラマ 『 スピン ・ シティ 』 の 舞台 は ニューヨーク で ある 
__label__芸能 , 山口 百恵 は 出演 し た 全て の 映画 で 三浦 友和 と 共演 し た 
__label__芸能 , T . M . Revolution の 5 th シングル 大がかり な セット を 組ん だ PV 自身 の 名 「 タカ ノリ 」 が 歌詞 に 曲名 は 「 高気圧 」 という 意味 『 Burnin ' X ' mas 』 『 蒼い 霹靂 ～ JOG edit ～』 『 HIGH PRESSURE 』 『 WILD RUSH 』 
__label__芸能 , 女性 タレント ・ 安め ぐみ を 妻 に もつ 、 お笑い コンビ 「 Take 2 」 の メンバー は 深沢 邦之 で ある 
__label__芸能 , ロバート ・ デ・ニーロ が 主演 し た 2002 年 公開 の 映画 です ショウタイム 
__label__芸能 , ドラマ 『 臨場 』 の 主題歌 に 起用 さ れ た 平原 綾香 の 曲 です 威風 堂々 
__label__芸能 , 「 ゆるやか に 」 という 意味 が ある 演奏 記号 です アダージョ 
__label__芸能 , ロックバンド 「 FLOW 」 の ボーカル です KEIGO 
__label__芸能 , 2007 年 に 日本 有線 大賞 を 受賞 し た 氷川 きよし の 歌 は 『 きよし の ○ ○ ○ ○ 節 』 ？ ( 4 文字 ) ソーラン 
__label__芸能 , 2007 年 の TV ドラマ 『 演歌 の 女王 』 で 、 天海 祐希 が 演じ た の は 演歌 歌手 で ある 
__label__芸能 , ジャン ・ ジュネ と マルク・キャロ が 共同 監督 を 務め た フランス 映画 デリカ テッセン 
__label__芸能 , 作曲 家 キダ・タロー の ニックネーム は 「 浪花 の 」 何 ？ ベートーベン シューベルト バッハ モーツァルト 
__label__芸能 , 華原 朋美 の デビュー 曲 は 『 keep yourself alive 』 で ある 
__label__芸能 , 陣内 智則 が かつて 西口 圭 と 結成 し て い た お笑い コンビ リミテッド 
__label__芸能 , 人気 グループ ・ SMAP の リーダー は 中居 正広 です が TOKIO の リーダー は ○○○？○ の 漢字 を ひ ら が なで 答え なさい じ ょうしましげる 
__label__芸能 , ゴールデンボンバー の 鬼龍院 翔 が かつて 結成 し て た お笑い コンビ チョコ サラミ 
__label__芸能 , 中田 敦彦 と 藤森 慎吾 の 2 人 から なる 、 「 武勇 伝 」 の ネタ で おなじみ の お笑い コンビ は 「 ○ ○ ○ ○ ○ ○ ラジオ 」 ？ ( 5 文字 ) オリエンタル 
__label__芸能 , クロード・ルルーシュ 監督 による 1966 年 の 恋愛 映画 『 男 と 女 』 の 主演 で 有名 な フランス の 女優 は ？ アヌーク・エーメ 
__label__芸能 , 次 の アナウンサー を 所属 し て いる TV 局 ごと に グループ 分け し なさい TBS テレビ朝日 吉澤 一彦 佐古 忠彦 柴田 秀一 
__label__芸能 , 2011 年 に 7 年 ぶり に 活動 を 再開 さ せる 、 『 Sprit of Love 』 など の ヒット 曲 で 知ら れる バンド は 「 SING LIKE ○○○○○○○」？ TALKING 
__label__芸能 , NHK 朝 の 連続 TV 小説 『 こころ 』 に 主演 し まし た 中越 典子 
__label__芸能 , 映画 『 フレンチ・コネクション 』 により アカデミー 主演 男優 賞 を 受賞 し た アメリカ の 俳優 は ？ ジーン・ハックマン 
__label__芸能 , 永井 豪 の 漫画 を 原作 と し た 2004 年 公開 の 映画 です デビルマン 
__label__芸能 , 過去 に 木村 拓哉 が 主演 し た TV ドラマ の 主題歌 は 全て SMAP が 歌っ て いる 
__label__芸能 , 中島 美 嘉 が 「 NANA starring MIKA NAKASHIMA 」 名義 で リリース し た 2005 年 の ヒット 曲 は 『 GLAMOROUS ○○○』？○ を 答え なさい SKY 
__label__芸能 , 第 57 回 アカデミー 作品 賞 を 受賞 し た 『 アマ デウス 』 は モーツァルト を 描い た 映画 で ある 
__label__芸能 , 1961 年 に 『 サーフィン 』 で デビュー し た 、 ヒット 曲 『 サーフィン USA 』 で 有名 な アメリカ の 男性 グループ は ？ ビーチ・ボーイズ 
__label__芸能 , 沢 たまき が リーダー を 演じ た 伝説 の お 色気 アクション ドラマ プレイガール 
__label__芸能 , 次 の タレント を 司会 を 務め て いる 音楽 番組 ごと に グループ 分け し なさい MUSIC FAIR 21 MUSIC STATION 鈴木 杏樹 竹内 由恵 タモリ 
__label__芸能 , 『 スケーターズワルツ 』 で 有名 な フランス の 作曲 家 は バダルジェフスカ で ある 
__label__芸能 , TUBE の ボーカル を 務め て いる 歌手 は 前田 耕陽 で ある 
__label__芸能 , 『 夢見る 少女 じゃ い られ ない 』 で 1995 年 に デビュー 以後 『 恋心 』 『 Sweet Emotion 』 など を ヒット さ せ た 歌手 は ？ 田村 直美 橘 いずみ 川本 真琴 相川 七瀬 
__label__芸能 , 次 の 文字 列 を 順に 選ん で 1946 年 に エディト・ピアフ が 歌っ た シャンソン の 名曲 の タイトル に し なさい ラ ヴィ ローズ アン 
__label__芸能 , 俳優 ・ 向井 理 の 出身 大学 は 早稲田大学 で ある 
__label__芸能 , 2001 年 に 開催 さ れ た 第 1 回 の 「 M - 1 グランプリ 」 で 優勝 し た お笑い コンビ は 「 ○○○」？○ の 漢字 を ひ ら が なで 答え なさい なか が わけ 
__label__芸能 , 2008 年 に 実写 映画 化 さ れ た アメコミヒーロー アイアン マン 
__label__芸能 , 次 の フジテレビ の 月 9 ドラマ を 放送 さ れ た 年代 ごと に グループ 分け し なさい 1990 年代 2000 年代 ロング バケーション 西遊 記 やまと なでしこ 
__label__芸能 , メンデルスゾーン の 交響 曲 第 3 番 の 題名 は 『 スコットランド 』 で ある 
__label__芸能 , テーマ は 超 能力 御厨 研究所 主人公 は 霧 原 兄弟 主演 は 豊川 悦治 と 武田 真治 『 NIGHT HEAD 』 『 サイバー 美少女 テロメア 』 『 禁じ られ た マリコ 』 『 七瀬 ふたたび 』 
__label__芸能 , オーケストラ の 指揮 者 は 必ず タクト を 使っ て 指揮 を し なけれ ば なら ない 
__label__芸能 , 2011 年 7 月 放送 の 『 FNS 27 時間 テレビ 』 で 、 100 km マラソン に 挑ん だ の は 、 ナインティナイン の 岡村 隆史 で ある 
__label__芸能 , 2010 年 より 『 めざまし テレビ 』 の キャスター を 務め て い ます 生野 陽子 
__label__芸能 , 1997 年 放映 の TV ドラマ 『 ビーチボーイズ 』 で 主人公 たち が 働い て いる 民宿 の 名前 は ？ ダイヤモンド ヘッド 
__label__芸能 , 女優 ・ ミムラ の 芸名 の 由来 に なっ た の は アニメ 『 アルプス の 少女 ハイジ 』 の 登場 人物 で ある 
__label__芸能 , 前田 敦子 が 探偵 を 演じ た 江崎グリコ 「 アイス の 実 」 の CM の 原作 を 担当 し た 漫画 家 は 青山 剛 昌 で ある 
__label__芸能 , 小 出水 と てつ じ の 2 人 から なる 吉本興業 に 所属 し て いる お笑い コンビ は ？ シャンプー ハット 
__label__芸能 , 国産 初 の 特撮 ヒーロー ・ 月光 仮面 に 返信 する 探偵 は 祝 十郎 で ある 
__label__芸能 , アイドル ユニット ・ アイドリング !!! の リーダー 遠藤 舞 が 単独 初 主演 を 果たし た 2011 年 5 月 公開 の 映画 は ？ コネコノキモチ 
__label__芸能 , 芝居 に 出演 する とき は 本名 の 「 池畑 慎之介 」 を 名乗る タレント と いえ ば ？ ターーピ 
__label__芸能 , ドラマ 『 踊る 大 捜査 線 』 に 登場 する 神田 署長 、 袴田 刑事 課 部長 秋山 副 署長 の 3 人 から 成る 湾岸 署 の 名物 トリオ は ？ スリーアミーゴス 
__label__芸能 , ソル ティー ・ シュガー の ヒット 曲 『 走れ コウタロー 』 で 、 本命 だ と 歌わ れ て いる 競走 馬 の 名前 は ？ ホタルノヒカリ 
__label__芸能 , 1980 年代 初め に 『 めだか の 兄妹 』 『 もしも 明日 が … 。 』 など を ヒット さ せ た 音楽 グループ は ？ ( 3 文字 ) わらべ 
__label__芸能 , 新聞 王 を 主人公 と し た オーソン・ウェルズ 主演 による 1941 年 の 映画 は 『 市民 ○○○』？○ を 答え なさい ケーン 
__label__芸能 , ガエターノ・ドニゼッティ 作曲 の オペラ 『 愛 の 妙薬 』 で 主人公 ネモリーノ に インチキ の 惚れ 薬 を 売りつける 人物 は ？ ドゥルカマーラ 
__label__芸能 , 『 パートタイム・ラヴァー 』 や 『 心 の 愛 』 で 知ら れる アメリカ の 歌手 は スティービー・ ○○○○？○ を 答え なさい ワンダー 
__label__芸能 , 『 秘密 の ケンミン SHOW 』 など の テレビ 番組 で 司会 を 務める 本名 を 「 御法川 法男 」 という タレント は ？ ( 5 文字 ) みの もん た 
__label__芸能 , 兄 ・ 靖 史 と 弟 ・ 浩史 の 兄弟 お笑い コンビ の 名前 は 「 千原 兄弟 」 で ある 
__label__芸能 , ベトナム 戦争 を 描い た マーチン ・ シーン 主演 フランシス ・ F ・ コッポラ 監督 による 1979 年 の 映画 は ？ 地獄 の 黙示録 
