__label__社会 , 日本 で 最も 面積 が 大きい 市 は ○ ○ 市 ？ ○ の 漢字 を ひ ら が なで 答え なさい た か や ま 
__label__社会 , 次 の 産業 の うち 第 二 次 産業 に 分類 さ れる の は ？ 農業 水産 業 林業 鉱業 
__label__社会 , イギリス の 国会 議事堂 の 大 時計 （ ビッグ ベン ） が ある 塔 に 付け られる こと に なっ た 名前 は 「 エリザベス ・ タワー 」 で ある 
__label__社会 , 旅客機 や 電車 、 バス など の ボディ 全体 に 描か れる 広告 を ○ ○ ○ ○ ○ 広告 という ？ ○ を 答え なさい ラッピング 
__label__社会 , ナイアガラ の 滝 の アメリカ 滝 と カナダ 滝 毎 分 の 流水 量 が 多い の は カナダ 滝 で ある 
__label__社会 , ちぢみ や 錦鯉 の 産地 として 知ら れる 新潟 県 中部 の 都市 小千谷 市 
__label__社会 , 2012 年 10 月 の 臨時 国会 で 野田 佳彦 首相 の 所信 表明 演説 は 憲政 史上 初めて 衆議院 だけ で 行わ れ た 
__label__社会 , ナイル 川 の 2 大 支流 で ある 青 ナイル と 白 ナイル で 年 平均 流量 が 多い の は 青 ナイル の 方 で ある 
__label__社会 , 北米 五 大 湖 の スペリオル 湖 と ヒューロン 湖 を 結ぶ 運河 は ○ ○ ○ ○ ○ マリー 運河 ？ ○ を 答え なさい スーセント 
__label__社会 , 漢字 で 「 倫敦 」 と 書く 都市 は どこ ？ ロンドン 
__label__社会 , 次 の JR の 路線 を 五十音 順 に 選び なさい 吉都線 城端線 武豊線 
__label__社会 , [ 画像 問 ] 東京 都 の シンボルマーク の モチーフ に も なっ て いる 葉っぱ は どっち ？ （ A . モミジ | B . イチョウ ） 
__label__社会 , 次 の 文字 を 順に 選ん で 「 わ たぬき 」 「 つぼみ 」 と 読む 難読 漢字 に し なさい 一 日 月 四 
__label__社会 , 次 の 文字 列 を 順に 選ん で 日本 の 住宅 メーカー の 名前 に し なさい ム サワ ミ ホー 
__label__社会 , ノルウェー ベルギー オランダ スウェーデン 公国 王国 共和 国 大公 国 
__label__社会 , 因島 が ある 広島 県 の 都市 は 因島 市 で ある 
__label__社会 , カリブ海 の 北東 部 に 位置 する アメリカ合衆国 の 自治領 は ？ プエルトリコ 
__label__社会 , 国土 地理 院 の 地図 に 使わ れる 地図 記号 で 、 家 と 杖 を デザイン し た もの が 表す の は ○ ○ ホーム ？ ○ の 漢字 を ひ ら が なで 答え なさい ろう じん 
__label__社会 , 京都 の 名産 品 で ある 「 丹後 ちり めん 」 と は 何 の こと ？ 羊羹 緑茶 絹織物 かまぼこ 
__label__社会 , アメリカ合衆国 の 陸軍 士官 学校 が ある ニューヨーク 州 の 町 は ○ ○ ○ ○ ポイント ？ ○ を 答え なさい ウエスト 
__label__社会 , 現在 、 発行 さ れ て いる 二 千 円 札 に 描か れ て いる 『 源氏物語 絵巻 』 は 何 という 巻 の もの ？ ( 2 文字 ) 鈴虫 
__label__社会 , フランス ・ パリ の メトロ 全線 で 使用 できる 、 10 枚 1 組 に なっ た 回数 乗車 券 を 何 という ？ ( 3 文字 ) カルネ 
__label__社会 , アメリカ合衆国 東部 を 走る アパラチア 山脈 の 最高峰 で ある 標高 2037 m の 山 は ？ グリーン 山 アレクサンダー 山 ミッチェル 山 ジェームス 山 
__label__社会 , 石川 県 の 伝統 工芸 品 「 輪島塗 」 は 漆器 で ある 
__label__社会 , 東海道 ・ 山陽新幹線 を 走る 「 のぞみ 1 号 」 は 下り 列車 で ある 
__label__社会 , [ 画像 問 ] この 地図 記号 が 示す もの は ？ （ 本 ） と しょ かん 
__label__社会 , 次 の 小島 と それ が 浮かぶ 日本 の 湖 の 正しい 組み合わせ を 選び なさい 大根 島 竹生 島 琵琶 島 野尻 湖 琵琶湖 中海 
__label__社会 , かつて 日本 に あっ た 次 の 炭田 を 東 から 順に 選び なさい 粕屋 炭田 天 北 炭田 常磐 炭田 高島 炭田 
__label__社会 , 島根 県 で 最も 面積 が 大きい 湖 は 宍道湖 で ある 
__label__社会 , 眼鏡 フレーム の 生産 で 世界 的 に 有名 な 福井 県 の 市 は ○ ○ 市 ？ ○ の 漢字 を ひ ら が なで 答え なさい さば え 
__label__社会 , 高速 道路 の 「 ノンストップ 自動 料金 収受 システム 」 の 略称 は ○○○？○ を 答え なさい ETC 
__label__社会 , 「 日本 三 大 狸 伝説 」 の 一つ 『 八 百 八 狸 物語 』 が 現代 に 伝わる の は 愛媛 県 松山 市 です が 『 分福 茶釜 』 が 現代 に 伝わる の は 群馬 県 ○ ○ 市 ？ ○ の 漢字 を ひ ら が なで 答え なさい た てばやし 
__label__社会 , 東海道新幹線 の 駅名 で 「 川 」 の 字 が つく の は 掛川 駅 と 品川 駅 です が 「 島 」 の 字 が つく の は 岐阜 羽島 駅 と ○ ○ 駅 ？ ○ の 漢字 を ひ ら が なで 答え なさい み しま 
__label__社会 , 世界 最高峰 の サガルマータ （ エベレスト ） が 世界 遺産 に 登録 さ れ て いる 国 は 中国 で ある 
__label__社会 , 日本 で 初めて ハイジャック さ れ た 飛行機 の 名前 は よど 号 です が 世界 で 始め て ハイジャック さ れ た 飛行機 の 名前 は ミス ・ ○ ○ ○ 号 ？ ○ を 答え なさい マカオ 
__label__社会 , 2012 年 に 誕生 し た アフリカ の 国 ・ チャド にとって 初 の 世界 遺産 は 「 ○ ○ ○ ○ ○ ○ 湖 群 」 ？ オウニアンガ 
__label__社会 , 次 の いわゆる 「 三 公社 」 と その 事業 を 継続 し た 会社 の 正しい 組み合わせ を 選び なさい 日本電信電話 公社 日本 専売 公社 日本 国有 鉄道 JR NTT JT 
__label__社会 , アメリカ で 開発 さ れ た パトリオット ミサイル は 自衛隊 に も 装備 さ れ て いる 
__label__社会 , 都道府県 の 鳥 で 北海道 の 「 道 の 鳥 」 は ○ ○ チョウ ？ ○ を 答え なさい タン 
__label__社会 , 幕末 に は 失脚 し た 岩倉 具視 が 隠れ 住ん で い た という 京都 の 西方寺 に ある 茶室 を 何 という ？ ( 3 文字 ) 湘南 亭 
__label__社会 , 次 の お 祭り を それ が 行わ れる 地域 ごと に グループ 分け し なさい 東北 地方 関西 地方 四国 地方 阿波 踊り 盛岡 さん さ 踊り ねぶた 祭り 仙台 七夕 まつり 岸和田 だんじり 祭 時代 祭 
__label__社会 , [ 画像 問 ] 次 の うち 埼玉 県 が 管理 ・ 運営 し て いる 建物 は どっち ？ （ A . 屋根 の ズームアウト | B . 屋根 の ズームアップ ） 
__label__社会 , 七福神 唯一 の 日本 の 神様 右手 に 釣り竿 左手 に 鯛 山手 線 の 駅名 に も なっ て いる 布袋 弁財天 恵比寿 福 禄 寿 
__label__社会 , 2011 年 6 月 に 、 石川 県 の 「 ○ ○ の 里 山里 海 」 が 世界 重要 農業 遺産 に 認定 さ れ た ？ ○ を 答え なさい の と 
__label__社会 , カンボジア の 国旗 に 描か れ て いる 建物 は アンコールトム で ある 
__label__社会 , 1985 年 に 、 上野 動物 園 で 初めて 生まれ た パンダ です 初 初 
__label__社会 , 1997 年 に 「 コンゴ 民主 共和 国 」 へ 名称 を 変更 し た アフリカ の 国 は ザンビア 共和 国 で ある 
__label__社会 , 1989 年 に 世界 デザイン 博覧 会 が 開催 さ れ た 日本 の 都市 は 横浜 市 で ある 
__label__社会 , アメリカ で は 自動車 は 右側 通行 で ある 
__label__社会 , 略称 を 「 KTR 」 という 天橋立 駅 が ある 京都 府 の 第 三 セクター 鉄道 と いえ ば 北 近畿 ○ ○ ○ 鉄道 ？ タンゴ 
__label__社会 , タクシー 運転 手 など 、 庶民 の 生活 と 密接 な 関係 の ある 人々 が 感じる 景気 感 を 「 ○ ○ 景気 」 という ？ ○ の 漢字 を ひ ら が なで 答え なさい まち か ど 
__label__社会 , 最初 に 入植 し た 人物 の 名 が 付い た 無数 の 小 峡谷 から 構成 さ れ て いる アメリカ ・ ユタ 州 の 景勝 地 で 国立 公園 に も なっ て いる の は 何 ？ ブライスキャニオン 
__label__社会 , 2012 年 8 月 に 、 株式 の 時価 総額 で 上場 企業 として の 過去 最高 を 更新 し た 企業 は アップル で ある 
__label__社会 , 小和田 湖 から 流出 する 唯一 の 河川 は ○ ○ ○ 川 ？ ○ の 漢字 を ひ ら が なで 答え なさい おいら せ 
__label__社会 , 次 の 大陸 最高峰 と それ が 位置 する 大陸 の 正しい 組み合わせ を 選び なさい ビンソン・マッシーフ チョモランマ コジウスコ 山 ユーラシア 大陸 南極大陸 オーストラリア 大陸 
__label__社会 , 日本 で 、 快速 が 走る 地下鉄 の 路線 が ある 
__label__社会 , 日本 で 老年 人口 と いえ ば ○ ○ 歳 以上 の 人口 の こと ？ ○ を 答え なさい 65 
__label__社会 , 2008 年 10 月 に 開業 し た 京阪 電鉄 の 路線 は ○ ○ ○ 線 ？ ( 3 文字 ) 中之島 
__label__社会 , アメリカ合衆国 の 先住民 の こと を 「○○○○○ ・ アメリカン 」 という ？ ネイティブ 
__label__社会 , 次 の 歴代 の アメリカ 大統領 を 所属 し た 政党 ごと に グループ 分け し なさい 民主党 共和党 【 2 】 ハーバート・フーバー グロ バー ・ クリーブランド ウォレン・ハーディング 
__label__社会 , 日本 三 大美 森 で 青森 と いえ ば ○ ○ ？ ○ を 答え なさい ヒバ 
__label__社会 , 日本 の 警察官 が 普段 携帯 し て いる 警察 手帳 は 横 開き で ある 
__label__社会 , 夏 でも 涼しい 気候 を 利用 し て 野菜 の 出荷 時期 を 遅く する の は 促成 栽培 で ある 
__label__社会 , 日本 の 経済 団体 で 、 日本 経団連 の トップ の 役職 名 は ○ ○ ？ ○ の 漢字 を ひ ら が なで 答え なさい か いちょう 
__label__社会 , その 都市 伝説 の 発祥 地 と さ れる こと から 、 岐阜 県 の 柳ケ瀬 商店 街 が 町 おこし に 利用 し て いる の は 「 口 裂け 女 」 で ある 
__label__社会 , 国際 連合 の こと を 英語 で 何 という ？ Group of Nations Team of Nations League of Nations United Nations 
__label__社会 , 中央 アメリカ の 国 エルサルバドル の 首都 は ○ ○ サルバドル ？ ○ を 答え なさい サン 
__label__社会 , [ 画像 問 ] 次 の うち 、 デンマーク の 建築 家 ヨルン・ウッツォン が 設計 し た 建物 は どっち ？ （ A . サグラダ・ファミリア | B . オペラ ハウス ） 
__label__社会 , 標高 約 1000 m の 高原 に ある ベネズエラ の 首都 は ？ カラカス 
__label__社会 , 開祖 ムハンマド に 神 が 与え た 啓示 を まとめ た もの で ある イスラム教 の 教典 は ？ ( 4 文字 ) コーラン 
__label__社会 , アメリカ の 連邦 議会 で 上院 の 定数 は ○ ○ ○ 人 ？ ○ を 答え なさい 100 
__label__社会 , 次 の うち 、 北米 大陸 に ある 「 五大 湖 」 の 1 つ に 数え られる 湖 を 全て 選び なさい スペリオル 湖 ミシガン 湖 ヒューロン 湖 
__label__社会 , 次 の うち 、 2001 年 に 合併 し て さいたま 市 と なっ た 都市 を 全て 選び なさい 浦和 市 与野 市 大宮 市 
__label__社会 , JR 山手 線 の 1 週 に かかる 所要 時間 は 、 最速 の 列車 で は 1 時間 を 切っ て いる 
__label__社会 , シンガポール の シンボル と なっ て いる 伝説 上 の 動物 は ○○○○○○？○ を 答え なさい マーライオン 
__label__社会 , フランチャイズ ビジネス において 権利 や ノウハウ を 提供 する 側 を 「 フランチャイザー 」 と いい ます が 権利 や ノウハウ の 提供 を 受ける 側 を 「 フラン チャイ ○ ○ 」 という ？ ○ を 答え なさい ジー 
__label__社会 , 世界 遺産 に 登録 さ れる と 抹消 さ れる こと は ない 
__label__社会 , 永世 中立 国 の スイス に は 軍隊 が ない 
__label__社会 , バチカン 市 国 に は 空港 は ひとつ も ない 
__label__社会 , 以前 は 「 サイバーマップ・ジャパン 」 という 社名 だっ た インターネット で 地図 情報 の 提供 など を 行う 企業 は ？ マピオン 
__label__社会 , 日本 で は 「 紅 樹林 」 という 熱帯 地方 の 植物 群落 は ？ マングローブ 
__label__社会 , 日本 の 伝統 工芸 品 ・ 有田焼 で 知ら れる 有田 町 が ある の は 佐賀 県 で ある 
__label__社会 , 国民 年金 加入 者 の 分類 で 、 公務員 や サラリーマン に 扶養 さ れ て いる 配偶 者 を 「 第 ○ 号 被 保険 者 」 という ？ ○ を 答え なさい 3 
__label__社会 , 2009 年 5 月 より 始まっ た 国民 が 刑事 裁判 に 参加 する 制度 は 「 ○ ○ ○ 制度 」 ？ ○ を 答え なさい さ いばん いん 
__label__社会 , オランド 大統領 により 閉鎖 の 意向 が 表明 さ れ て いる 、 現存 する フランス 最古 の 原発 は ○○○○○○○○ 原子力 発電 所 ？ フェッセンハイム 
__label__社会 , 官公庁 の 施設 が 集中 し て いる こと から 日本 の 中央 官界 の 代名詞 に も なっ て いる 、 東京 都 千代田 区 の 地名 は ？ ( 3 文字 ) 霞が関 
__label__社会 , 次 の 海外 の 企業 を 本社 を 置く 国 ごと に グループ 分け し なさい イタリア イギリス フィアット オリベッティ ボーダフォン 
__label__社会 , 埼玉 県 の 「 県民 の 鳥 」 に 定め られ て いる 鳥 は ？ ( 5 文字 ) シラコバト 
__label__社会 , 葉 タバコ の 生産 量 が もっとも 多い 国 は 中国 で ある 
__label__社会 , 鹿児島 県 の 種子島 と 屋久島 で 森林 鉄道 が 運行 さ れ て いる の は 種子島 で ある 
__label__社会 , カナダ の 首都 オタワ が ある 州 は オンタリオ 州 で ある 
__label__社会 , 東京 の 国会 議事堂 で 正面 から 向かっ て 右側 に ある の は 参議院 で ある 
__label__社会 , 長崎 電気 軌道 の 路線 長崎 駅前 電 停 思案 橋 電 停 浦上駅前 電 停 赤迫支線 本線 桜町支線 蛍 茶屋 支線 
__label__社会 , 2010 年 3 月 に 、 七宝 町 、 美和 町 、 甚目寺 町 が 合併 し て 誕生 し た 愛知 県 の 年 は 「 ○ ○ 市 」 ？ ○ を 答え なさい あま 
__label__社会 , 次 の 地方 新聞 と その 本社 が ある 都道府県 の 正しい 組み合わせ を 選び なさい 十勝 毎日新聞 信濃毎日新聞 桐生 タイムス 北海道 群馬 県 長野 県 
__label__社会 , 次 の うち 、 日本 列島 を 表す 「 四 島 」 に 含ま れる 島 を 全て 選び なさい 本州 白州 九州 
__label__社会 , イベリア 半島 西岸 から アフリカ 北西 部 へ と 向かう 南 に 流れる 寒流 は ○ ○ ○ ○ 海流 ？ ( 4 文字 ) カナリア 
__label__社会 , 総理 大臣 の こと を この よう に も 言い ます 宰相 
__label__社会 , 次 の 上越新幹線 の 駅 を 北 に ある もの から 順に 選び なさい 越後 湯沢 駅 熊谷 駅 上野 駅 
__label__社会 , 中華人民共和国 で 漢 族 の 次に 人口 が 多い 民族 は ウイグル 族 で ある 
__label__社会 , タクシー の 一種 で 、 普段 は 営業 所 に 待機 し て おり 利用 者 の 要請 が あれ ば 派遣 さ れる もの を 特に 何 という ？ ハイヤー 
__label__社会 , 金魚 や 小松菜 など の 特産 品 で 知ら れる 川 を 挟ん で 千葉 県 に 隣接 する 東京 都 の 区 は ？ 江戸川 区 
__label__社会 , アフリカ 大陸 で もっとも 人口 が 多い 国 は ナイジェリア で ある 
__label__社会 , 珍 駅名 として 有名 な 名鉄 河和線 の 駅 です 上ゲ 
__label__社会 , 現在 、 ラテン語 を 公用 語 と する 国家 は 存在 し ない 
__label__社会 , アメリカ合衆国 の 公用 語 は 英語 で ある と 法律 で 定め られ て いる 
__label__社会 , 1953 年 、 日本 で 最初 の 屋上 ビアガーデン を オープン さ せ た 外食 企業 は ？ ニユ － ・ トーキヨー 
__label__社会 , 「 スカンジナビア 十字 」 と 呼ば れる 国旗 の デザイン が 最初 に 使わ れ た 国 は デンマーク で ある 
__label__社会 , 2010 年 に 話題 と なっ た 「 家庭 内野 党 」 という 言葉 は 当時 の 首相 ・ 菅 直人 の 妻 、 伸子 夫人 を 例え て いっ た もの で ある 
__label__社会 , 登山 で 人気 の 高尾山 が ある 東京 都 の 都市 は 八王子 市 で ある 
__label__社会 , 東京 タワー の 鉄材 の 原料 に は 戦車 も 含ま れ て いる 
__label__社会 , [ 動画 問 ] 次 の うち ケーブルカー は どっち ？ （ A . 垂直 方向 に 2 本 巻き 取り | B . 3 本 以上 の ケーブル ） 
__label__社会 , 滋賀 県 の 面積 の 約 6 分の 1 を 占め て い ます 琵琶湖 
__label__社会 , 東京 メトロ の 駅 の うち 唯一 埼玉 県 に ある の は ○ ○ ○ 駅 ？ ○ の 漢字 を ひ ら が なで 答え なさい わこ う し 
__label__社会 , 2005 年 に 鈴木 宗男 が 結成 し た 政党 「 新党 大地 」 の 命名 者 は 歌手 の 松山 千春 で ある 
__label__社会 , 次 の 文字 列 を 順に 選ん で ブラジル に ある 世界 遺産 の 名前 に し なさい 地域 群 保全 アマゾン 中央 
__label__社会 , 石川 県 に ある 金沢 大学 は 国立 大学 で ある 
__label__社会 , 2004 年 に ゲーム 会社 の セガ と 経営 統合 し た 、 パチスロ 業界 で 第 1 位 の シェア を 誇る 企業 は ○○○？○ を 答え なさい サミー 
__label__社会 , 赤道 が 通る 地点 として は 世界一 高い 場所 が ある エクアドル に ある 山 は ○ ○ ○ ○ 山 ？ カヤンベ 
__label__社会 , 大阪 に ある 観光 地 アメ 村 の 「 アメ 」 は 「 ○ ○ ○ ○ 」 の 略 ？ ○ を 答え なさい アメリカ 
__label__社会 , 「 熊本 県 営業 部長 」 の 肩書 を 持つ 熊本 県 の PR キャラクター は 「 くま ○ ○ 」 ？ ○ を 答え なさい モン 
__label__社会 , 現在 の 社民党 の 党首 は ○ ○ 瑞穂 ？ ○ の 苗字 を ひ ら が なで 答え なさい ふくし ま 
__label__社会 , ハワイ の 島 ザ・マネレ・ベイ 別名 「 パイナップル 島 」 ザ・コエレ・ロッジ カウアイ 島 ラナイ 島 オアフ 島 モロカイ 島 
__label__社会 , 次 の 私立 大学 と その 本部 が ある 都道府県 の 正しい 組み合わせ を 選び なさい 早稲田大学 南山大学 近畿大学 東京 都 大阪 府 愛知 県 
__label__社会 , 2010 年 に ユネスコ の 無形 文化 遺産 に 登録 さ れ た 、 茨城 県 や 栃木 県 で 生産 さ れる 絹織物 は 「 ○ ○ 袖 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい ゆう き 
__label__社会 , 冬 から 春 にかけて 東側 を 乾燥 し た 暖 風 チヌーク が 吹く の は ロッキー 山脈 で ある 
__label__社会 , 「 インディアン ・ パシフィック 」 と いえ ば 、 どこ の 国 を 横断 する 鉄道 ？ カタカナ で 答え なさい オーストラリア 
__label__社会 , 建築 家 ガウディ による 「 サグラダ・ファミリア 」 や 1992 年 の 五輪 開催 で 知ら れる スペイン の 都市 は ？ ( 5 文字 ) バルセロナ 
__label__社会 , 南太平洋 の 島々 など に 多く 産 する 海鳥 の 糞 が 堆積 し て 固まっ た もの は ○○○？○ を 答え なさい グアノ 
__label__社会 , [ 画像 問 ] 1989 年 の 参議院 議員 選挙 で 当時 の 社会党 が 「 溶け て 無くなれ 消費 税 」 と いっ て 有権者 に 配っ て 回っ た お菓子 は どっち ？ （ A . アメ | B . チョコ ） 
__label__社会 , 日本 の 有名 な 古戦場 で 三 方 ヶ 原 が ある の は 現在 の 静岡 県 浜松 市 です が 小手 指原 が ある の は 現在 の 埼玉 県 ○ ○ 市 ？ ○ の 漢字 を ひ ら が なで 答え なさい ところ ざわ 
__label__社会 , 日本 で は 秋吉台 や 平尾台 に 見 られる 、 石灰岩 が 溶食 さ れ て でき た 地形 は ○ ○ ○ ○ 地形 ？ ( 4 文字 ) カルスト 
__label__社会 , いわゆる 「 政権 公約 」 の こと を イタリア 語 で いう と ？ マニフェスト 
__label__社会 , やなせ たかし が デザイン し た 岐阜 県 多治見 市 の キャラクター う な がっ ぱ 
__label__社会 , フローニンゲン ハーグ ロッテルダム アムステルダム オランダ ルクセンブルク スウェーデン デンマーク 
