__label__社会 , エジプト と スーダン の 国境 に 位置 する 、 1970 年 の アスワンハイダム 建設 によって 誕生 し た 人工 湖 は ○ ○ ○ 湖 ？ ( 3 文字 ) ナセル 
__label__社会 , その 河岸 に ある 建築 物 群 が 世界 遺産 に なっ て いる 、 フランス の 首都 ・ パリ の 市内 を 流れる 川 は ○ ○ ○ 川 ？ ○ を 答え なさい セーヌ 
__label__社会 , 河口 に 土砂 が 推積 し て できる 三角州 の 別名 は ？ アルファ ガンマ オメガ デルタ 
__label__社会 , 2010 年 に 導入 さ れ た 、 金融 業者 に 年収 の 1 / 3 を 超える 貸し付け を 禁じ た 規制 は 「 預金 ○ ○ 規制 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい そう りょう 
__label__社会 , 石 家 荘 市 に 省 都 を 置く 中国 の 省 は 河北 省 で ある 
__label__社会 , アメリカ ・ カリフォルニア 州 の 観光 名所 と なっ て いる 、 セコイア の 森 や 渓谷 で 有名 な 国立 公園 は ○ ○ ○ ○ 国立 公園 ？ ( 4 文字 ) ヨセミテ 
__label__社会 , 佐藤 栄作 の 後継 者 を 争い 三 角 大福 と 呼ば れ た 政治 家 は その後 全員 、 総理 大臣 に なっ た 
__label__社会 , 経線 から の 角度 が 正しい ため 海図 など に 使わ れる 地図 の 図法 で フランドル 出身 の 地理 学者 の 名 が 付い た の は ○ ○ ○ ○ ○ 図法 ?？ ( 5 文字 ) メルカトル 
__label__社会 , 都営 地下鉄 の 駅 は すべて 東京 都内 に ある 
__label__社会 , アフリカ 大陸 東南 の インド洋 に 浮かぶ 、 首都 を アンタナナリボ に 置く 島国 は ？ マダガスカル 
__label__社会 , 現在 、 発行 さ れ て いる 5 円 玉 と 50 円 玉 で 穴 が 大きい の は 5 円 玉 の 方 で ある 
__label__社会 , 国連 の 専門 機関 の ひとつ 「 世界 保健 機関 」 の 略称 は ？ アルファベット で 答え なさい WHO 
__label__社会 , JR 東京 駅 と JR 新宿 駅 。 先 に 駅 が でき た の は 東京 駅 で ある 
__label__社会 , 1965 年 、 日本 で 最初 の 海外 パック 旅行 を 発売 し た の は ANA で ある 
__label__社会 , オーストラリア から 帰国 し た 篠原 欣子 が 1973 年 に 創業 し た 女性 事務職 を 中心 と する 人材 派遣 会社 と いえ ば ？ テンプ スタッフ 
__label__社会 , 2005 年 3 月 28 日 に 栃木 県 に 誕生 し た 花 の 名前 が つい た 都市 は さくら 市 で ある 
__label__社会 , [ 画像 問 ] 下北半島 は どっち ？ （ A . 左側 、 真っ直ぐ 伸び て いる 半島 | B . 右側 、 かぎ 爪 の よう な 半島 ） 
__label__社会 , 東京 を 代表 する 動物 園 で ある 上野 動物 園 の 正式 名称 は 「 ○ ○ 上野 動物 公園 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい おん し 
__label__社会 , 携帯 電話 メーカー ・ ソニーモバイルコミュニケーションズ の かつて の 社名 は 「 ソニー ・ ○○○○○」？○ を 答え なさい エリクソン 
__label__社会 , 大西洋 と 地中海 を 結ぶ 海峡 は 「 ○ ○ ○ ○ ○ ○ 海峡 」 ？ ジブラルタル 
__label__社会 , 次 の 国名 を 五十音 順 に 選び なさい パラグアイ 東ティモール サンマリノ カナダ ニカラグア アゼルバイジャン トーゴ 
__label__社会 , 次 の 旧 国名 を 東 に あっ た 順 に 選び なさい 備後 丹後 肥後 
__label__社会 , 日本 で 一番 北 に ある 空港 は 札 文 空港 です が 日本 で 一番 南 に ある 空港 は ○ ○ ○ 空港 ？ ○ の 漢字 を ひ ら が なで 焼 答え なさい は てる ま 
__label__社会 , 次 の 文字 列 を 組み合わせ て 毎年 、 ゴールデンウィーク に 多く の 観光 客 を 集める イベント の 名前 に し なさい ひろしま 弘前 博多 さくら まつり どん たく 港 まつり フラワー フェスティバル 
__label__社会 , 東京 ・ 新宿 の 歌舞伎町 に は かつて 歌舞伎座 が 建っ て い た 
__label__社会 , 佐賀 県 に ある 唯一 の 九州 新幹線 の 駅 は 「 新 ○ ○ 駅 」 ？ ○ を 答え なさい と す 
__label__社会 , 2005 年 に 女性 政治 家 の アンゲラ・メルケル が 首相 に 就任 し た ヨーロッパ の 国 は ？ ( 3 文字 ) ドイツ 
__label__社会 , 国際 電話 の 国 番号 1 番 は アメリカ で ある 
__label__社会 , 2008 年 に 世界 的 な 金融 不安 を 巻き起こし た 、 アメリカ の 低 所得 者 向け 住宅 融資 と いえ ば 「 ○ ○ ○ ○ ○ ○ ローン 」 ？ サブ プライム 
__label__社会 , 特定 の 候補 者 に 有利 に なる よう に 選挙 区 の 区割り を 設定 する こと ゲリマンダー 
__label__社会 , 日本 に は 、 自社 の 鉄道 車両 を １ 台 も 持た ない 鉄道 会社 が 存在 する 
__label__社会 , かつて は 鳥 葬 、 風葬 を 慣行 別名 「 拝 火 教 」 教典 は 「 アヴェスター 」 善 の 神 アフラ・マズダ ヒンズー教 ゾロ アスター 教 ユダヤ 教 イスラム教 
__label__社会 , 次 の うち 、 世界 遺産 に 指定 さ れ て いる もの を 全て 選び なさい 原爆 ドーム 阿蘇山 石見 銀山 
__label__社会 , イスラエル の 国旗 の 中央 に 描か れ て いる の は 「 ダビデ の 星 」 で ある 
__label__社会 , 秋田 県 と 山形 県 で より 北 に 位置 する の は 秋田 県 で ある 
__label__社会 , 大日本帝国 憲法 の 第 1 章 は 日本国 憲法 と 同じく 天皇 について 書か れ て いる 
__label__社会 , 東京 の 丸の内 に ある 丸ビル は 、 真上 から 見る と 円形 を し て いる 
__label__社会 , 目 の 不自由 な 人 で も 額面 が 分かる よう 、 日本 で 50 度 数 の テレホンカード に 入っ て いる 切り 込み は 2 つ で ある 
__label__社会 , 日清食品 の 創業 者 です 安藤 百 福 
__label__社会 , 本州 に ある 都道府県 で 最も 面積 が 小さい の は 大阪 府 で ある 
__label__社会 , ヨーロッパ の 国 ・ チェコ の 首都 は ？ ( 3 文字 ) プラハ 
__label__社会 , ムーミン が 生まれ た 国 フィンランド に は 「 ムーミンワールド 」 という テーマパーク が ある 
__label__社会 , アメリカ の 世界 遺産 「 メセ・ヴェルデ 国立 公園 」 で 最大 の 遺跡 で ある 、 岩窟 住居 による 集落 は ○ ○ ○ ・ パレス ？ ( 3 文字 ) クリフ 
__label__社会 , [ 画像 問 ] 次 の うち 、 智頭 急行 の 駅名 に なっ て いる 人物 は どっち ？ （ A . 宮本 武蔵 、 二刀流 | B . 西郷 隆盛 、 犬 連れ ） 
__label__社会 , 2005 年 に 開催 さ れ た 愛知 万博 の 通称 は 「 愛 ・ ○ ○ 博 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい ち きゅう 
__label__社会 , トイザらス 1 号 店 が オープン し た 都道府県 は 茨城 県 で ある 
__label__社会 , 各界 の 功績 者 を 招い て 、 天皇 、 皇后 が 春 と 秋 に 野外 で おこなう 社交 界 を 「 ○ ○ 会 」 という ？ ○ の 漢字 を ひ ら が なで 答え なさい え ん ゆう 
__label__社会 , 次 の 政治 家 を 大阪 府知事 を 務め た 順 に 選び なさい 横山 ノック 松井 一郎 橋本 徹 
__label__社会 , 次 の うち いわゆる 「 北方領土 」 に 含ま れ て いる もの を 全て 選び なさい 佐渡 島 国後 島 色丹島 
__label__社会 , 2012 年 11 月 に 「 日本 維新 の 会 」 と 合流 する ため に 解答 し た 政党 は 「 国民 の 生活 が 第 一 」 で ある 
__label__社会 , 次 の 文字 列 を 順に 選ん で タンザニア の 北部 に ある 自然 保護 区 の 名前 に し なさい ゴロ ロン ンゴ 
__label__社会 , [ 画像 問 ] 次 の うち 、 ローマ に ある スペイン 広場 は どっち ？ （ A . 沢山 の 人 、 緑 | B . 泉 、 像 ） 
__label__社会 , 自衛 官 が 職務 で 殉職 し て も 警察官 と 同じ よう に 二 階 級 特進 と なる 場合 が ある 
__label__社会 , 東南アジア の 国 シンガポール と 東京 23 区 で 、 面積 が 広い の は 東京 23 区 で ある 
__label__社会 , バルト海 で 最も 大きい 島 は ゴトランド 島 で ある 
__label__社会 , 欧州 連合 ・ EU の 旗 に 描か れ て いる 星 は 加盟 国 の 数 を 表し て いる 
__label__社会 , 次 の 文字 列 を 順に 選ん で 地球 に ある 大陸 の 名前 に し なさい ラ ユー シ ア 
__label__社会 , 現地 到着 空港 と 現地 出発 空港 の 異なる 航空 券 の こと です オープン ジョー 
__label__社会 , JR の 東京 駅 に は 2 人 の 駅長 が いる 
__label__社会 , 1997 年 に イギリス 皇太子 妃 ダイアナ が 事故死 し た 都市 は パリ で ある 
__label__社会 , 2012 年 4 月 13 日 に 北朝鮮 が 人工 衛星 と 称する ミサイル を 発射 し た 際 に 、 日本 政府 が その 事実 を 発表 し た の は 発射 から 何 分 後 ？ 約 40 分 後 約 80 分 後 約 60 分 後 約 20 分 後 
__label__社会 , 次 の うち 、 アメリカ合衆国 に ある 油田 を 全て 選び なさい アパラチア 油田 アガジャリー 油田 メキシコ 湾岸 油田 
__label__社会 , 日暮里 と 見沼 代 親水 公園 を 結ぶ 2008 年 に 開業 し た 東京 都 交通 局 の 新 交通 システム と いえ ば 日暮里 ・ ○○○○○○？ ( 6 文字 ) 舎人 ライナー 
__label__社会 , 東京 都 の 遊園 地 「 と しまえ ん 」 は もちろん 豊島 区 に ある 
__label__社会 , 海外 へ の 玄関 口 に なっ て いる 日本 の 成田 国際 空港 を 意味 する スリー レター コード は ○ ○ ○ ？ ( 3 文字 ) NRT 
__label__社会 , 青 ナイル 川 と 白 ナイル 川 で タナ 湖 を 水源 と する の は 青 ナイル で ある 
__label__社会 , 移転 問題 で 揺れる アメリカ 軍 の 普天間 基地 が ある 沖縄 県 の 都市 は ○ ○ ○ 市 ？ ○ の 漢字 を ひ ら が なで 答え なさい ぎのわん 
__label__社会 , 「 ワンワンワン 」 という 鳴き声 から 、 「 犬 の 日 」 は 毎年 11 月 1 日 と 定め られ て いる 
__label__社会 , 東京 都知事 の 在職 期間 が 5844 日 と 最も 長かっ た の は 石原 慎太郎 で ある 
__label__社会 , サハラ砂漠 の 最高 地点 は 富士山 の 頂上 より も 髙 い 
__label__社会 , JR の 山陽 本線 と 山陰本線 で 電化 区間 と 非 電化 区間 が 混在 し て いる の は 山陽 本線 で ある 
__label__社会 , 外国 から の 輸入 品 に かけ られる 税金 の こと を ○ 税 という ？ ○ の 漢字 を ひ ら が なで 答え なさい かん 
__label__社会 , 「 バルト 三 国 」 と 呼ば れる 国 の うち 、 リトアニア の 首都 は ビリニュス です が エストニア の 首都 は ？ ビリニュス タリン ヨエンスー クラクフ 
__label__社会 , 山形 県 大蔵 村 に 実在 する ちょっと 変わっ た 名前 の バス停 は 「 塩 」 で ある 
__label__社会 , 次 の うち 、 かつて の 武蔵 国 を 領域 と し て いる 都道府県 を 全て 選び なさい 埼玉 県 東京 都 神奈川 県 
__label__社会 , 次 の うち 、 満 30 歳 以上 の 日本 国民 だけ に 被選挙権 が ある もの を 全て 選び なさい 都道府県 知事 参議院 議員 市町村 議会 議員 
__label__社会 , 日本 で 、 鉄道 の 女性 専用 車両 に 男性 が 乗る と 逮捕 さ れる 
__label__社会 , 次 の 大学 を 本部 が ある 都道府県 ごと に グループ 分け し なさい 京都 府 大阪 府 兵庫 県 【 2 】 大阪大学 同志社大学 立命館大学 神戸大学 
__label__社会 , 北海道 の 面積 を 5 倍 する と 日本 の 面積 を 超える 
__label__社会 , 皇太子 妃 ・ 雅子 様 の 父親 で 2009 ～ 12 年 に 国際司法裁判所 の 所長 を 務め た の は 小和田 ○ ？ ○ の 名前 を ひ ら が なで 答え なさい ひさし 
__label__社会 , アメリカ合衆国 の 首都 は ○ ○ ○ ○ ○ D . C .？○ を 答え なさい ワシントン 
__label__社会 , 政府 が 発表 し た 2012 年版 の 『 高齢 社会 白書 』 に よる と 日本 の 総 人口 における 65 歳 以上 の 高齢 者 の 割合 は およそ 何 %？ 23 % 33 % 28 % 18 % 
__label__社会 , 本州 最 東端 の 場所 が ある の は 岩手 県 で ある 
__label__社会 , 2011 年 11 月 に 日本航空 が 就航 さ せ た の は 大野 智 が 描か れ た 「 怪物 くん JET 」 で ある 
__label__社会 , 現在 で は 禁止 さ れる 所 も 多い 岸 の 岩 を 叩い たり 、 川面 や 湖面 に 電極 を 入れ たり し て 魚 を 気絶 さ せ 捕獲 する 漁法 は ？ ガッチン 漁 
__label__社会 , 世界 遺産 の ワルトブルク 城 が ある ドイツ の 都市 は ライプチヒ で ある 
__label__社会 , 東京 スカイ ツリー が 日替わり で 行う 2 種類 の 夜間 ライトアップ の うち 、 水色 を 主体 と する の は 美意識 を 示す 「 雅 」 で ある 
__label__社会 , 原動機 付 自転車 で 歩行 者 の 側 方 を 通過 する 場合 必ず 徐行 し なけれ ば なら ない 
__label__社会 , 香川銀行 の ネット バンク 専用 インターネット 支店 の 名前 は 「 香川銀行 ○ ○ ○ うどん 支店 」 ？ セルフ 
__label__社会 , 航空 会社 の 定時 到着 率 ランキング で 、 2009 年 ・ 2010 年 と 2 年 連続 で 世界 1 位 と なっ た の は 全日本 空輸 で ある 
__label__社会 , ホテル の 「 スイートルーム 」 の 「 スイート 」 と は 「 甘い 」 という 意味 で ある 
__label__社会 , 1991 年 に 自ら 命 を 絶っ た 中国 の 政治 家 ・ 江青 は 毛沢東 の 妻 だっ た 
__label__社会 , 広島電鉄 が 路面 電車 を 運行 し て いる 都市 を 1 つ 答え なさい ひろし まし はつ か いち し 
__label__社会 , 交通 標識 の 一つ です 駐車 禁止 
__label__社会 , 特別 会計 に関する 法律 など に 基づく 原発 マネー の 代表 的 な もの を 「 ○ ○ 三 法 交付 金 」 という ？ ○ の 漢字 を ひ ら が なで 答え なさい でん げん 
__label__社会 , 『 分福 茶釜 』 の 茂林寺 とげ ぬ き 地蔵 の 高岩寺 赤穂 浪士 の 墓 が ある 泉岳寺 大本山 は 永平寺 と 総持寺 臨済宗 日蓮宗 浄土宗 曹洞宗 
__label__社会 , 1947 年 に UFO が 墜落 し た と さ れる ニューメキシコ 州 の 町 は ○○○○○？○ を 答え なさい ロズウェル 
__label__社会 , 「 ルシード 」 「 ギャツビー 」 など の 商品 で 知ら れる マンダム は 日本 の 化粧 品 メーカー で ある 
__label__社会 , フランス と スペイン の 国境 に 連なる 山脈 は ？ ( 4 文字 ) ピレネー 
__label__社会 , 2002 年 に 流通 を 開始 し た 欧州 単一 通貨 は ○○○？○ を 答え なさい ユーロ 
__label__社会 , 奈良 県 が ある の は ○ ○ 半島 ？ ○ の 漢字 を ひ ら が なで 答え なさい きい 
__label__社会 , 衆議院 の 解散 し た 時 に 総 選挙 が 行わ れる の は 解散 から 40 日 以内 で ある 
__label__社会 , アメリカ の 1 セント 硬貨 の 通称 は ？ ( 3 文字 ) ペニー 
__label__社会 , 次 の 島 を 属する 都道府県 ごと に グループ 分け し なさい 北海道 東京 都 硫黄 島 天売 島 南鳥島 焼尻 島 沖ノ鳥島 
__label__社会 , 次 の うち 、 「 旧 七 帝 大 」 の 1 つ に 数え られる 大学 を 全て 選び なさい 新潟大学 東北大学 京都 大学 
__label__社会 , 次 の 観光 名所 を 都道府県 ごと に グループ 分け し なさい 青森 県 宮城 県 十 八 鳴浜 三 内 丸山 遺跡 鳴子峡 
__label__社会 , 日本 に ある 国立 公園 の うち その 名前 に 「 大 」 という 漢字 が 入る の は 大山 隠岐 国立 公園 と 大雪山 国立 公園 です が その 名前 に 「 小 」 という 漢字 が 入る の は ○ ○ ○ 国立 公園 ？ 小笠原 
__label__社会 , 日本 で 最も 深い ところ に ある 地下鉄 の 駅 は 馬喰町 駅 で ある 
__label__社会 , ヨーロッパ の 国 ドイツ の 首都 は ミュンヘン で ある 
__label__社会 , 東京 都 中野 区 の 施設 「 中野 ブロードウェイ 」 の 上部 は 、 住居 施設 と なっ て いる 
__label__社会 , ヨーロッパ の 国 スペイン の 首都 は バルセロナ で ある 
__label__社会 , 土井 たか子 が 、 かつて 議長 を 務め て い た の は 衆議院 で ある 
__label__社会 , フランス の 大統領 と スペイン の ウル ヘル 司教 が 共同 で 国家 元首 を 務める ヨーロッパ の 小国 は サンマリノ で ある 
__label__社会 , 同じ 耕地 で 1 年 に 2 回 同じ 作物 を 栽培 する こと を 二毛作 という 
__label__社会 , アフリカ 南西 部 の 国 アンゴラ の 首都 は ルアンダ で ある 
__label__社会 , 昭和 40 年代 の 高度 経済 成長 下 で 太平 ムード に 浮かれる 世相 を 皮肉り 「 昭和 元禄 」 という 言葉 を 生ん だ 政治 家 は 福田 赳夫 で ある 
__label__社会 , 日本 の 都道府県 の 中 で 最も 島 の 数 が 多い の は 長崎 県 で ある 
__label__社会 , 鉄道 の 線路 の 勾配 を 示す 単位 で 記号 「‰」 で 表さ れる の は ？ ( 4 文字 ) パーミル 
__label__社会 , [ 画像 問 ] 次 の 有名 な 橋 と その 橋 が ある 都道府県 の 正しい 組み合わせ を 選び なさい （ 川 に対して 水平 、 渡 月橋 ） （ 水 が 見え ない 、 猿橋 ） （ 何 度 も 円弧 を 描く 形状 、 錦帯橋 ） 山口 県 山梨 県 京都 府 
__label__社会 , 1955 年 に 初めて 五 十 円 硬貨 が 登場 し た 時 穴 は 空い て なかっ た 
__label__社会 , 日本 の 国土 の 1 割 以上 は 国立 公園 か 国定 公園 に 指定 さ れ て いる 
__label__社会 , 検察庁 に 提出 する 告訴 状 や 告発 状 を 手がける 者 の 職業 は 行政 書士 で ある 
__label__社会 , 消防 士 が 職務 で 殉職 し て も 警察官 と 同じ よう に 二 階 級 特進 と なる 場合 が ある 
__label__社会 , 次 の うち 、 アフリカ の 国 を 全て 選び なさい アルメニア タンザニア カンボジア 
__label__社会 , 砂漠 に 見 られる 枯れ 川 の こと を ○ ○ という ？ ○ を 答え なさい ワジ 
__label__社会 , 長野 県 や 新潟 県 が これ に 含ま れ ます ち ゅうぶちほう 
__label__社会 , アメリカ の 企業 で よく 行なわ れる 業績 が 悪化 し た 際 に 再 雇用 を 条件 として 従業 員 を 一時 的 に 解雇 する こと を 何 という ？ レイオフ 
__label__社会 , 江戸 時代 に 伝馬 町 の 牢屋 が あっ た 場所 にあたる 東京 ・ 日本橋 の 公園 十 思公 園 
__label__社会 , イタリア を 代表 する 航空 学者 は ○ ○ ○ ○ ○ 航空 ？ アリタ リア 
__label__社会 , 「 信任 投票 」 の 訳語 が 当て られる こと も ある 、 重要 政策 の 決定 に際して 首相 が 議会 を 介さ ず 直接 有権者 に 問う 投票 制度 は ？ プレビシット 
__label__社会 , 日本 の 仏教 系 大学 で 高野山大学 の 母体 と なっ て いる の は ○ ○ 宗 ？ ○ の 漢字 を ひ ら が なで 答え なさい しん ご ん 
__label__社会 , 2012 年 9 月 に 、 ハー バード 大学 の 研究 者 は 「 キリスト が 妻 について 言及 し た 文献 が 発見 さ れ た 」 と 発表 し た 
__label__社会 , 2002 年 に 千葉 県 に 開通 し た 第 3 セクター の 鉄道 で その 全長 が 2 . 2 km と 日本一 短い の は ○ ○ 鉄道 ？ ( 2 文字 ) 芝山 
__label__社会 , 次 の 日本 の 政治 家 と その 所属 政党 の 正しい 組み合わせ を 選び なさい 福島 瑞穂 菅 直人 麻生 太郎 自由民主党 民主党 社会民主党 
__label__社会 , 東京 スカイ ツリー の 高 さ は 東京 都 の 旧 国名 に ちなん だ 「 ○ ○ ○ m 」 ？ ( 3 文字 ) 634 
__label__社会 , 日本 の 自治体 に 設置 さ れ て いる 「 選挙 管理 委員 会 」 の 職員 は 選挙 が 無い とき は 休み に なる 
__label__社会 , 次 の うち 、 中部 地方 に 路線 を 持つ 鉄道 会社 を 全て 選び なさい 松本電気鉄道 野 岩 鉄道 富山 ライト レール 大井川 鐵 道 一 畑 電車 
__label__社会 , 標高 3190 m 長野 県 と 岐阜 県 の 県境 日本 三 大岩 峰 の 一つ 日本 で 3 番目 に 高い 山 乗鞍岳 駒ヶ岳 穂高 山 笠ヶ岳 
