__label__芸能 , 映画 『 ダーティハリー 』 の 主演 は クリント ・ ○○○○○○○？ イーストウッド 
__label__芸能 , 次 の タレント を 司会 を 務め て いる 番組 ごと に グループ 分け し なさい 世界一 受け たい 授業 PON ！ Q さま !! 堺 正章 ビビる 大木 優香 
__label__芸能 , 日本 の ロックバンド 「 175 R 」 の ボーカル は SHOGO で ある 
__label__芸能 , 視聴 者 から の 依頼 を 探偵 局員 が 調査 する 、 西田 敏行 が 局長 を 務める 関西 の 人気 TV 番組 は 『 探偵 ！ ○ ○ ○ スクープ 』 ？ ( 3 文字 ) ナイト 
__label__芸能 , 2012 年 4 月 の 吉本興業 創業 100 周年 公演 で 西川 きよし と コンビ を 組ん で 漫才 を し た 歌手 は 誰 ？ 細川 たかし 五木 ひろし 千 昌夫 北島 三郎 
__label__芸能 , 2001 年 の 椎名 林檎 の ヒット 曲 は 『 真夜中 は ○ ○ 』 ？ 純潔 
__label__芸能 , 1986 年 の 新田 恵利 の ヒット 曲 は 『 内緒 で ○ ○ ○ ○ 』 ？ 浪漫 映画 
__label__芸能 , 1992 年 の ドラマ 『 ずっと あなた が 好き だっ た 』 で 佐野 史郎 が 演じ た 役名 は 「 冬 彦 」 で ある 
__label__芸能 , 女優 ・ 福田 沙紀 の 「 沙紀 」 という 名前 は 、 ドラマ 『 スケバン 刑事 』 の ヒロイン ・ 麻宮 サキ に ちなん で 付け られ た 
__label__芸能 , 秋元 康 プロデュース の オヤジ 音楽 ユニット 「 OJS 48 」 は メンバー の 平均 年齢 が 48 歳 だっ た こと から その 名 が つい た 
__label__芸能 , タレント 関根 勤 の 長女 で バラエティ 番組 など で 活躍 中 な の は 関根 ○ ○ ？ ○ の 名前 を ひ ら が なで 答え なさい まり 
__label__芸能 , 1996 年 から 2 年 連続 で レコード 大賞 を 受賞 し まし た 安室 奈美恵 
__label__芸能 , 懐かし の クイズ 番組 『 アメリカ 横断 ウルトラ クイズ 』 を 制作 ・ 放映 し て い た TV 局 は フジテレビ で ある 
__label__芸能 , 『 ... Baby One More Time 』 で 1998 年 に デビュー し た アメリカ の 女性 歌手 は ブリ トニー ・ ○○○○○？ ( 5 文字 ) スピアーズ 
__label__芸能 , かつて 木村 信彦 と 須知 裕 雅 が 結成 し て い た お笑い コンビ は ビッキーズ で ある 
__label__芸能 , 現在 は 画家 として 活動 中 の 吉本興業 所属 の 元 お笑い タレント は ○ ○ ○ 大西 ？ ○ を 答え なさい ジミー 
__label__芸能 , 『 ブルー ライト ・ ヨコハマ 』 を かつて 大 ヒット さ せ た 歌手 は ？ いしだ あゆみ 
__label__芸能 , 次 の うち 森高 千里 の シングル 曲 の タイトル に ある もの は ? ハエ 男 カマキリ 男 サソリ 男 コウモリ 男 
__label__芸能 , 2006 年 に 『 ちび まる 子 ちゃん 』 の 実写 版 で まる 子 を 演じ まし た 森 迫 永 依 
__label__芸能 , 『 ビバリーヒルズ 高校 白書 』 の 主人公 の 青年 です ブランドン 
__label__芸能 , タレント 、 西川 きよし の 妻 は 西川 ヘレン です が 長女 は 西川 ○ ○ ○ ？ ひ ら が な 3 文字 で 答え なさい か の こ 
__label__芸能 , 映画 『 スパイダーマン 3 』 に 登場 する 敵 の 名前 です サンド マン 
__label__芸能 , 俳優 シドニー・ポワチエ の 妻 で ある 元 女優 は ジョアンナ・シムカス で ある 
__label__芸能 , TV ドラマ 『 スター・トレック 』 シリーズ で レナード・ニモイ が 演じ た 、 エンタープライズ 号 の 副 艦長 は ミスター ・ ○ ○ ○ ○ ？ ( 4 文字 ) スポック 
__label__芸能 , [ 動画 問 ] 次 の うち 、 2007 年 公開 の 映画 『 し ゃべれどもしゃべれども 』 に 登場 し た 電車 は どっち ？ （ A . 冒頭 に 人 が 横切る 、 都電 荒川線 | B . 路面 電車 専用 道路 ） 
__label__芸能 , 北野 武 監督 の 映画 『 HANA - BI 』 は 花火 職人 を 描い た 映画 で ある 
__label__芸能 , 1982 年 に 歌手 の 甲斐 よしひろ と 結婚 し て 芸能 界 を 引退 し た TV ドラマ 『 探偵 物語 』 など に 出演 し た 女優 は 竹田 ○ ○ ○ ？ ( 3 文字 ) かほり 
__label__芸能 , 本木 雅弘 の 主演 による 相撲 を 題材 に し た 1992 年 公開 の 映画 は 『 ○ ○ ふん じゃっ た 。 』 ？ ○ を 答え なさい シコ 
__label__芸能 , 映画 『 スター・ウォーズ 』 で ハン ・ ソロ が 乗る 宇宙船 の 名前 は ミレニアム ・ ○○○○○ 号 ？ ○ を 答え なさい ファルコン 
__label__芸能 , 1991 年 に ヒット し た とんねるず の シングル は 『 ？ が やってくる 』 ガラガラヘビ 
__label__芸能 , 『 もう 誰 の 目 も 気 に し ない 』 『 眠ら ない 街 に 流さ れ て 』 『 声 に なら ない ほど に 愛しい 』 『 煌めく 瞬間 に 捕われ て 』 スピッツ シャ 乱 Q DEEN MANISH 
__label__芸能 , 2008 年 に シングル 『 鼻毛 ボー 』 で デビュー し た 女性 歌手 は ○○○○○○○○ ・ アリー ？ ジョンジョリーナ 
__label__芸能 , 音楽 グループ ・ 米 米 CLUB の ボーカル を 務め て いる 歌手 は カールスモーキー 石井 で ある 
__label__芸能 , 視聴 者 から 投稿 さ れ た ネタ に対し 怒っ て いい か 否 か を 判定 する テレビ朝日 の 番組 は 『 マツコ & 有吉 の 怒り ○ ○ 』 ？ ( 2 文字 ) 新党 
__label__芸能 , 女性 タレント ・ 中川 翔子 の 公式 ブログ の 名前 は 「 ○ ○ ○ ○ ○ ぶろ ぐ 」 ？ ○ を 答え なさい し ょこたん 
__label__芸能 , 阪神タイガース で 活躍 し た 双子 の 兄 を 持つ 、 主 に 関西 で 活躍 する タレント は 亀山 ○ ？ ○ の 名前 を ひ ら が なで 答え なさい しのぶ 
__label__芸能 , ユースケ・サンタマリア と 草なぎ 剛 が 出演 し て いる テレビ朝日 の 番組 は 『 「 ○ ○ 」 すま 』 ？ ○ を 答え なさい ぷっ 
__label__芸能 , [ 画像 問 ] 1999 年 に 大 ヒット し た 童謡 は 『 “ 何 ” 三 兄弟 』 ？ （ A . お はぎ | B . 団子 ） 
__label__芸能 , 『 嗚呼 、 青春 の 日々 』 『 いつか 』 『 夏 色 』 など の ヒット 曲 が ある 男性 デュオ の 名前 は ？ ( 2 文字 ) ゆず 
__label__芸能 , 二 重 スパイ を 主人公 と し た アメリカ の TV ドラマ です エイリアス 
__label__芸能 , 1979 年 に リリース さ れ た 郷 ひろみ の ヒット 曲 です マイ レディ 
__label__芸能 , 2010 年 に 発行 さ れ た 元 バレリーナ ・ 草刈 民代 の 写真 集 バレリーヌ 
__label__芸能 , 1996 年 に スタート し た 毎週 土曜日 放送 の フジテレビ の バラエティ 番組 は 『 め ちゃ × 2 ○ ○ てる ッ ！ 』 ？ ○ を 答え なさい イケ 
__label__芸能 , スティング が ボーカル を 務める イギリス の ロックバンド で 『 見つめ て い たい 』 など の ヒット 曲 で 知ら れる の は ？ ポリス 
__label__芸能 , 男性 陣 が 女性 を 巡っ て 争う 懐かし の 番組 は 『 ○○○○○○！』？ ラブ アタック 
__label__芸能 , 『 大空 と 大地 の 中 で 』 『 恋 』 『 長い 夜 』 『 季節 の 中 で 』 など の 曲 で 知ら れる 歌手 は ？ 松山 千春 
__label__芸能 , 里 田 まい 、 misono 、 藤本 敏史 の 3 人 から なる 音楽 ユニット は 「 里 田 まい with ○ ○ 兄弟 」 ？ ○ の 苗字 を ひ ら が なで 答え なさい ご う だ 
__label__芸能 , 吉本興業 の 創業 者 は 吉本 吉兵衛 と その 妻 で ある 吉本 ○ ○ ？ ○ を 答え なさい せい 
__label__芸能 , 1980 年 に 当時 大学生 の 宮沢 美子 が ビキニ 姿 に なる シーン が 話題 に なっ た テレビ CM は キヤノン の CM だっ た 
__label__芸能 , ジョージ ・ ルーカス は これ まで に アカデミー 監督 賞 を 受賞 し た こと が ある 
__label__芸能 , 佐藤 江梨子 、 根本 はるみ 、 小池 栄子 ら が 所属 し て いる 芸能 事務所 は ○ ○ ○ ○ キャブ ？ ( 4 文字 ) イエロー 
__label__芸能 , 落語 を 描い た 2007 年 の 映画 『 し ゃべれどもしゃべれども 』 に 主演 し た TOKIO の メンバー は 国分 太一 で ある 
__label__芸能 , 本名 を 「 江頭 秀晴 」 という 大川 興業 に 所属 する タレント は 江頭 2 :○○？○ を 答え なさい 50 
__label__芸能 , 関西 の ベテラン 漫才 師 大木 こだま の ギャグ です チッチキチー 
__label__芸能 , 1982 年 に リリース さ れ た 原田 知世 の デビュー 曲 は 『 悲しい くらい ほんと の 話 』 で ある 
__label__芸能 , オードリー ・ ヘプバーン 主演 の 映画 『 ローマ の 休日 』 は 主人公 の 新聞 記者 と 王女 の 結婚式 の シーン で 終わる 
__label__芸能 , かかと が 床 から 離れ ない よう に アキレス腱 を 伸ばし て 膝 を 曲げる バレエ の 基本 動作 を フランス語 で 何 という ？ ドゥミ・プリエ 
__label__芸能 , 2006 年 に は 小説 『 陰日向 に 咲く 』 で 作家 デビュー を 果たし て いる お笑い 芸人 は 劇団 ○ ○ ○ ？ ( 3 文字 ) ひとり 
__label__芸能 , 次 の 音楽 グループ を 結成 さ れ た 国 ごと に グループ 分け し なさい 韓国 日本 2 NE 1 Fairies 9 nine 
__label__芸能 , 次 の クラシック 音楽 の 作曲 家 を 国籍 ごと に グループ 分け し なさい ロシア ドイツ ショスタコービッチ バッハ ブラームス 
__label__芸能 , 角川 映画 『 人間 の 証明 』 と 『 野生 の 証明 』 の 監督 は 同じ 人物 で ある 
__label__芸能 , 吉本興業 の お笑い トリオ 「 ロバート 」 の リーダー は 秋山 竜次 で ある 
__label__芸能 , アメリカ の 女性 歌手 ベリンダ・カーライル が かつて 所属 し て い た 音楽 グループ は ？ ミラクルズ ゴーゴーズ アラベスク バングルス 
__label__芸能 , 次 の メグ ・ ライアン が 出演 し た 映画 と 共演 し た 俳優 の 正しい 組み合わせ を 選び なさい 男 が 女 を 愛する 時 星 に 想い を 恋 に おぼれ て アンディ ・ ガルシア マシュー・ブロデリック ティム ・ ロビンス 
__label__芸能 , 誘拐 さ れ た 夫 を 捜索 する 妻 を アンジェリーナ・ジョリー が 演じ た 、 2007 年 公開 の 映画 は 『 ○○○○○○○○/ 愛 と 絆 』 ？ マイティ・ハート 
__label__芸能 , 2011 年 に 活動 を 再開 さ せ た 難波 章浩 、 横山 健 、 恒 岡 章 の 3 人 から なる バンド は 「 Hi -○○○○○○○○」？ STANDARD 
__label__芸能 , たけ し 軍団 の タレントダンカン の 以前 の 芸名 は ？ ふん ころがし 
__label__芸能 , 2008 年 に 10 歳 で デビュー し た 演歌 歌手 ・ さくら まゆ の デビュー 曲 は 『 豊作 まつり 』 で ある 
__label__芸能 , 江戸 時代 に 実際 に 火消 と 力士 の 間 で 起こっ た 喧嘩 を 元 に し た 通称 を 『 め 組 の 喧嘩 』 という 歌舞伎 の 題目 は ？ 神 明恵 和合 取組 
__label__芸能 , 2012 年 に アニメ 『 トリコ 』 の ED 曲 『 サブ リナ 』 で メジャー デビュー を 果たし た 女性 歌手 は 家 入 ○○？○ を 答え なさい レオ 
__label__芸能 , 「 あんに ん 」 の 愛称 で 呼ば れる AKB 48 の メンバー です 入山 杏奈 
__label__芸能 , 1968 年 から 1990 年 まで フジテレビ で 放映 さ れ た 音楽 番組 の タイトル は 『 夜 の ヒット ○ ○ ○ ○ 』 ？ ( 4 文字 ) スタジオ 
__label__芸能 , 2012 年 4 月 に 放送 を 開始 し た 俳句 を 題材 に し た NHK E テレ の 新 番組 は 『 俳句 ○ ○ 咲く ！ 』 ？ ○ を 答え なさい さく 
__label__芸能 , 雑誌 「 CanCam 」 の 専属 モデル として 現在 活躍 し て いる フィリピン 人 と 日本人 の ハーフ は 高橋 ○○○○○○○？ メアリー ジュン 
__label__芸能 , 1996 年 公開 の 映画 『 ニクソン 』 で ニクソン 大統領 を 演じ た の は ジーン ・ ハックマン で ある 
__label__芸能 , 次 の うち 、 TV 番組 『 クイズタイムショック 』 の 歴代 司会 者 を 全て 選び なさい 生島 ヒロシ 中山 秀征 島田 紳助 
__label__芸能 , ヒット 曲 『 My Place 』 で 有名 な アメリカ の 黒人 歌手 です NELLY 
__label__芸能 , 1992 年 に 亡くなっ た 『 卒業 』 『 I LOVE YOU 』 など の ヒット 曲 が ある 男性 歌手 は 誰 ？ ( 3 文字 ) 尾崎 豊 
__label__芸能 , 中山 晋平 が 作曲 し た 唱歌 『 船頭 小唄 』 の 歌詞 に 登場 する 川 の 名前 は 利根川 で ある 
__label__芸能 , バレエ 音楽 『 眠れる 森 の 美女 』 や 『 白鳥 の 湖 』 を 作曲 し た の は ストラビンスキー で ある 
__label__芸能 , TV 番組 『 タモリ 倶楽部 』 で おなじみ の ソラミミスト 安斎 肇 
__label__芸能 , [ 画像 問 ] この 職業 の 主人公 の 恋愛 を 描い た TBS の お昼 の ドラマ は ？ （ 雲水 、 修行 僧 ） ピュア ・ ラブ 
__label__芸能 , 「 ワカ パイ 」 の 愛称 で 人気 の 女性 タレント いのうえ わか 
__label__芸能 , 槙尾 ユースケ 、 岩崎 う 大 の 2 人 による お笑い コンビ です か も めん たる 
__label__芸能 , TV ドラマ 『 GOOD LUCK !!』 で 木村 拓哉 が 演じ た 主人公 です 新海 元 
__label__芸能 , 映画 『 ダ・ヴィンチ・コード 』 で 主人公 の 教授 を 演じ た 俳優 は トム ・ クルーズ で ある 
__label__芸能 , 1992 年 に リリース さ れ た ウルフルズ の デビュー 曲 やぶれ かぶれ 
__label__芸能 , 1980 年 に リリース さ れ た 田原 俊彦 の デビュー 曲 は 『 哀愁 で いと 』 で ある 
__label__芸能 , シングル 『 そば に いる ね 』 を 2008 年 に ヒット さ せ た 歌手 は 青山 ○ ○ ○ feat . SoulJa ？ ○ を 答え なさい テルマ 
__label__芸能 , 2012 年 に タレント の ローラ が 広告 キャラクター に 就任 し た お菓子 メーカー は ロッテ で ある 
__label__芸能 , 次 の お笑い コンビ を 『 M - 1 グランプリ 』 で 優勝 し た こと が ある か ない か で グループ 分け し なさい ある ない 麒麟 NON STYLE スリム クラブ 
__label__芸能 , エリザベス ・ バークレイ が 主演 し た 1995 年 の 映画 です ショー ガール 
__label__芸能 , 次 の グループ と 、 その グループ の ボーカル を 務め た 歌手 の 正しい 組み合わせ を 選び なさい ザ・ジャガーズ ザ・カーナビーツ オックス アイ 高野 岡本 信 野口 ヒデ ト 
__label__芸能 , ドラマ 『 相棒 』 の 「 season 11 」 から 、 水谷 豊 演じる 杉下 右京 の 3 代目 相棒 ・ 甲斐 享 役 で 出演 し て いる 俳優 は ？ 岡田 将 生 小栗 旬 向井 理 成宮 寛 貴 
__label__芸能 , AKB 48 の 第 5 回 選抜 総 選挙 で は 海外 の グループ （ JKT 48 、 SNH 48 ） に 所属 する 外国 人 メンバー も 参加 する こと が できる 
__label__芸能 , ジャン ・ レ ノ 主演 の 映画 『 WASABI 』 は わさび を 栽培 する 農家 を 描い た 映画 で ある 
__label__芸能 , アミダラ 女王 役 で 有名 な 女優 は ナタリー ・ ○○○○○？ ポート マン 
__label__芸能 , 2000 年 に 財前 直見 が 主演 し た TV ドラマ 『 QUIZ 』 は クイズ 番組 を 描い た もの で ある 
__label__芸能 , テクノポップアイドルユニット Perfume の メジャーデビューシングル は 『 ○○○○○○○ ガール 』 ？ ○ を 答え なさい リニア モーター 
__label__芸能 , 俳優 の ブルース ・ リー は 映画 の 撮影 中 に 事故 で 亡くなっ た 
__label__芸能 , ビートルズ の リンゴ ・ スター の 「 リンゴ 」 と は フルーツ の リンゴ の こと で ある 
__label__芸能 , 1998 年 に リリース さ れ た Something ELse の ヒット 曲 は 『 ワンモアチャンス 』 で ある 
__label__芸能 , 次 の お笑い ユニット を 所属 事務所 ごと に グループ 分け し なさい 松竹 芸能 吉本興業 ナインティナイン 雨上がり 決死 隊 千原 兄弟 よ ゐ こ 
__label__芸能 , 2007 年 の 映画 『 悪夢 探偵 』 で 主人公 ・ 影沼 京一 を 演じ た の は 松山 ケン イチ で ある 
__label__芸能 , 3 人組 音楽 グループ TM NETWORK の メンバー を フルネーム で 1 人 答え なさい こ むろてつや うつのみや たかし き ね なお と 
__label__芸能 , ロバート ・ デ・ニーロ 主演 の 映画 『 タクシー ・ ドライバー 』 は タクシー の 運転 手 を 主人公 と し た 映画 で ある 
__label__芸能 , 2011 年 に デビュー 20 周年 を 記念 し 刊行 さ れ た 、 タレント ・ 千秋 の 自叙伝 は 「 ◯◯◯ ちゃん 」 ？◯ を 答え なさい ふしぎ 
__label__芸能 , 1996 年 公開 の 映画 『 ニクソン 』 で ニクソン 大統領 を 演じ た の は アンソニー・ホプキンス で ある 
__label__芸能 , 日本テレビ で 放送 さ れ て い た 番組 『 ズームイン !! 朝 !』 の 人気 コーナー は 「 Wicky さん の ○○○○○○ 英会話 」 ？ ( 6 文字 ) ワンポイント 
__label__芸能 , ジュリア ・ ロ バーツ が アカデミー 主演 女優 賞 を 受賞 し た 2000 年 公開 の 映画 は 『 エリン・ ○○○○○○』？ ブロコビッチ 
__label__芸能 , 1987 年 公開 の 映画 『 マルサ の 女 』 の 監督 は 大島 渚 で ある 
__label__芸能 , 西村 淳 の エッセー を 原作 と し た 2009 年 8 月 に 公開 さ れ た 堺 雅人 主演 の 映画 は 『 北極 料理 人 』 で ある 
__label__芸能 , 1989 年 に フジテレビ で 放映 さ れ た 陣内 考 則 、 小泉 今日子 、 柳葉 敏郎 ら が 出演 し た TV ドラマ は 『 ○○○○○○○○！』？ 愛 し あっ てる かい 
__label__芸能 , 歌手 ・ 布袋 寅泰 の 妻 で ある タレント は 高岡 早紀 で ある 
__label__芸能 , ジャングリング の 名手 で タレント 活動 も 行う ハンガリー 出身 の 数学 者 は ピーター ・ ○○○○○？○ を 答え なさい フランクル 
__label__芸能 , 1987 年 に フジテレビ で 放送 さ れ た 五十嵐 いづみ が 主演 し た TV ドラマ の タイトル は ？ 『 少女 コマンドー IZUMI 』 『 少女 ターミネーター IZUMI 』 『 少女 フレディ IZUMI 』 『 少女 ジェイソン IZUMI 』 
__label__芸能 , アイドル の 酒井 法子 が 使っ て い た のり ピー 語 で 、 「 すごく 」 という 意味 が ある の は 「 ○○○○」？○ を 答え なさい マンモス 
__label__芸能 , モデル として 活躍 する 布川 敏和 の 長女 です 布川 桃 花 
__label__芸能 , ブラッド ・ ピット が 主演 し た 1997 年 公開 の 映画 です スリーパーズ 
__label__芸能 , 次 の うち ダスティン ・ ホフマン が アカデミー 主演 男優 賞 を 受賞 し た 映画 を 全て 選び なさい 『 俺 たち に 明日 は ない 』 『 クレイマー 、 クレイマー 』 『 レインマン 』 
__label__芸能 , 初音 ミク の オリジナル 楽曲 です ミラクル ペイント 
__label__芸能 , ブロードウェイ ミュージカル の 傑作 『 アニー よ 銃 を 取れ 』 で 主人公 の 女性 ガンマン・アニー の 苗字 は オーク リー で ある 
__label__芸能 , 今立 進 と や つい いちろう の 2 人 から なる お笑い コンビ は ？ エレキ コミック 
__label__芸能 , 1987 年 公開 の 映画 『 マルサ の 女 』 の 監督 は 伊丹 十 三 で ある 
__label__芸能 , 童謡 『 赤とんぼ 』 で 姉 や が 嫁 に 行っ た の は 16 歳 の 時 で ある 
__label__芸能 , 2006 年 の 映画 『 ブギーマン 』 は ジョン・カーペンター 監督 の 映画 『 ハロウィン 』 の 続編 で ある 
__label__芸能 , タレント の 磯野 貴理子 が 芸能 界 に 入る 前 に 就い て い た 職業 は 銀行 員 で ある 
__label__芸能 , 死後 に 国民 栄誉 賞 を 受賞 し た 戦前 戦後 の 映画 俳優 です はせがわ かずお 
__label__芸能 , 2010 年 に 「 泣ける 歌 」 として 話題 に なっ た 、 女性 歌手 ・ 植村 花 菜 が 歌っ た 曲 は 『 ○ ○ ○ の 神様 』 ？ ○ を 答え なさい トイレ 
__label__芸能 , 芸能 界 の ミュージシャン 夫妻 で 桑田 佳祐 の 妻 は 原 由子 です が 布袋 寅泰 の 妻 は ○○○○？○ の 漢字 を ひ ら が なで 答え なさい いま いみき 
__label__芸能 , i - style project の 開発 による ボーカロイド 「 ○ ○ ラピス 」 ？ 蒼 姫 
__label__芸能 , かつて 小山田 圭吾 と 小沢 健二 が 結成 し て い た デュオ の 名前 は ○○○○○○ ・ ギター ？ フリッパーズ 
__label__芸能 , 安 珍 ・ 清姫 伝説 を もと に 作ら れ た 能 の 代表 的 な 作品 どう じょうじ 
__label__芸能 , [ 画像 問 ] 次 の うち 、 タレント の 山田 優 の 出身 地 は どっち ？ （ A . 沖縄 | B . 北海道 ） 
